# Time-averaged data for fix myat3
# TimeStep c_rgyr
40500 14.4447
40600 14.4358
40700 14.4115
40800 14.4385
40900 14.4308
41000 14.4432
41100 14.508
41200 14.507
41300 14.4544
41400 14.4138
41500 14.4663
41600 14.5341
41700 14.5704
41800 14.6428
41900 14.6825
42000 14.6091
42100 14.5127
42200 14.4553
42300 14.4649
42400 14.5101
42500 14.513
42600 14.4521
42700 14.3951
42800 14.3528
42900 14.3039
43000 14.2556
43100 14.1702
43200 14.0529
43300 14.0037
43400 14.0305
43500 14.005
43600 14.0372
43700 14.1617
43800 14.2924
43900 14.4058
44000 14.4522
44100 14.4437
44200 14.4395
44300 14.4551
44400 14.4602
44500 14.4314
44600 14.4257
44700 14.4461
44800 14.4116
44900 14.4247
45000 14.463
45100 14.4889
45200 14.5395
45300 14.6253
45400 14.7402
45500 14.7585
45600 14.6883
45700 14.6004
45800 14.5859
45900 14.6649
46000 14.6772
46100 14.6258
46200 14.5576
46300 14.5324
46400 14.4977
46500 14.5103
46600 14.5597
46700 14.6082
46800 14.6392
46900 14.6185
47000 14.5074
47100 14.4012
47200 14.364
47300 14.3293
47400 14.2802
47500 14.3203
47600 14.3956
47700 14.4907
47800 14.554
47900 14.569
48000 14.5757
48100 14.531
48200 14.4725
48300 14.427
48400 14.4194
48500 14.4023
48600 14.3746
48700 14.3811
48800 14.4311
48900 14.4474
49000 14.4792
49100 14.5121
49200 14.5349
49300 14.5604
49400 14.6279
49500 14.7193
49600 14.8107
49700 14.7858
49800 14.7151
49900 14.6422
50000 14.648
50100 14.6768
50200 14.6107
50300 14.5638
50400 14.6612
50500 14.7964
50600 14.8328
50700 14.7414
50800 14.6236
50900 14.5714
51000 14.5846
51100 14.6043
51200 14.621
51300 14.645
51400 14.6522
51500 14.5954
51600 14.513
51700 14.4857
51800 14.5109
51900 14.5905
52000 14.6377
52100 14.5634
52200 14.4404
52300 14.3943
52400 14.3979
52500 14.4507
52600 14.5532
52700 14.6263
52800 14.7125
52900 14.7508
53000 14.7219
53100 14.6342
53200 14.5628
53300 14.5325
53400 14.51
53500 14.4747
53600 14.4721
53700 14.539
53800 14.5982
53900 14.5758
54000 14.5455
54100 14.5065
54200 14.4611
54300 14.4485
54400 14.4043
54500 14.3581
54600 14.3455
54700 14.3433
54800 14.3509
54900 14.3631
55000 14.2814
55100 14.3236
55200 14.4524
55300 14.5383
55400 14.549
55500 14.5628
55600 14.5456
55700 14.5022
55800 14.5011
55900 14.4857
56000 14.4936
56100 14.4996
56200 14.5391
56300 14.608
56400 14.5654
56500 14.4896
56600 14.3824
56700 14.3706
56800 14.4574
56900 14.5105
57000 14.5149
57100 14.4272
57200 14.2987
57300 14.2211
57400 14.2667
57500 14.3622
57600 14.4441
57700 14.5299
57800 14.5211
57900 14.4657
58000 14.4638
58100 14.4005
58200 14.34
58300 14.3527
58400 14.3564
58500 14.3614
58600 14.3976
58700 14.4623
58800 14.5504
58900 14.6357
59000 14.6617
59100 14.6231
59200 14.6032
59300 14.6007
59400 14.6042
59500 14.5962
59600 14.4938
59700 14.4926
59800 14.5774
59900 14.647
60000 14.6446
