# Time-averaged data for fix myat2
# TimeStep v_delta_r
40200 48.3323
40300 48.5456
40400 48.5685
40500 48.6053
40600 48.5659
40700 48.3715
40800 48.71
40900 48.5227
41000 48.5018
41100 48.5057
41200 48.4442
41300 48.6122
41400 48.7836
41500 48.8721
41600 49.0938
41700 48.9374
41800 49.1802
41900 49.4296
42000 49.1201
42100 48.9519
42200 48.4648
42300 48.566
42400 48.6128
42500 48.4951
42600 48.5491
42700 48.3775
42800 48.0564
42900 47.8589
43000 47.541
43100 47.2588
43200 47.1159
43300 47.0207
43400 47.2029
43500 47.0341
43600 47.0493
43700 47.613
43800 48.1159
43900 48.3648
44000 48.4953
44100 48.5257
44200 48.4573
44300 48.5318
44400 48.7787
44500 48.7489
44600 48.7109
44700 48.8101
44800 48.6259
44900 48.911
45000 48.9403
45100 48.573
45200 49.1869
45300 49.2935
45400 49.8142
45500 49.5147
45600 49.3355
45700 49.2688
45800 49.1877
45900 49.4679
46000 49.4402
46100 49.4352
46200 49.103
46300 48.8888
46400 48.8288
46500 48.852
46600 49.0535
46700 49.2274
46800 49.4907
46900 49.437
47000 48.9028
47100 48.4915
47200 48.3888
47300 48.5535
47400 48.3142
47500 48.3131
47600 48.434
47700 48.8201
47800 49.048
47900 49.0853
48000 49.3185
48100 49.0924
48200 48.9192
48300 48.689
48400 48.7233
48500 48.5754
48600 48.6105
48700 48.6038
48800 48.7832
48900 48.818
49000 48.8882
49100 48.9988
49200 49.1614
49300 49.158
49400 49.1232
49500 49.5119
49600 49.829
49700 49.5681
49800 49.1233
49900 49.1725
50000 49.4815
50100 49.3183
50200 49.163
50300 49.0554
50400 49.4482
50500 49.8187
50600 49.6848
50700 49.2459
50800 49.2065
50900 49.2601
51000 49.4497
51100 49.3558
51200 49.3207
51300 49.3986
51400 49.4328
51500 49.2615
51600 49.0496
51700 48.9388
51800 48.7856
51900 48.8674
52000 49.1146
52100 48.9862
52200 48.7089
52300 48.364
52400 48.3707
52500 48.5564
52600 48.9073
52700 48.8844
52800 49.0049
52900 49.3258
53000 49.2836
53100 48.9782
53200 48.7679
53300 48.6927
53400 48.5205
53500 48.3093
53600 48.4754
53700 48.7531
53800 48.6093
53900 48.5976
54000 48.5862
54100 48.6012
54200 48.605
54300 48.405
54400 48.3217
54500 48.1891
54600 48.1692
54700 48.2223
54800 48.3039
54900 48.5437
55000 48.0868
55100 48.109
55200 48.4468
55300 48.9597
55400 48.9375
55500 49.0679
55600 49.1003
55700 48.6313
55800 48.648
55900 48.4291
56000 48.6265
56100 48.4963
56200 48.9094
56300 49.3334
56400 49.177
56500 48.951
56600 48.5295
56700 48.7059
56800 48.8278
56900 49.0065
57000 48.9972
57100 48.8031
57200 48.4058
57300 48.033
57400 48.0341
57500 48.3023
57600 48.4314
57700 48.8552
57800 48.7529
57900 48.7541
58000 48.8302
58100 48.863
58200 48.4486
58300 48.5039
58400 48.4966
58500 48.4804
58600 48.6383
58700 48.7343
58800 48.8344
58900 49.3706
59000 49.4754
59100 49.1052
59200 48.98
59300 49.3056
59400 49.187
59500 49.3588
59600 49.0325
59700 49.1018
59800 49.1051
59900 49.4389
60000 49.3706
