# Time-averaged data for fix myat2
# TimeStep v_myvol v_mylx v_myly v_mylz
140000 8166.07 14.0669 19.9799 29.0558
141000 8078.95 14.1258 19.9828 28.6229
142000 8051.58 14.1347 19.9943 28.4899
143000 8132.31 14.373 19.5641 28.9221
144000 8162.51 14.2283 20.0053 28.6759
145000 8166.21 14.2932 19.5361 29.2481
146000 8211.43 14.3197 19.6397 29.1996
147000 8224.36 14.0674 19.6168 29.8063
148000 8268.04 14.3767 19.7367 29.1403
149000 8255.35 14.0349 19.7567 29.7724
150000 8161.28 14.162 19.4826 29.5789
151000 8182.23 14.1538 19.5042 29.6397
152000 8172.53 13.9563 19.6891 29.7452
153000 8164.46 13.9848 19.6494 29.7135
154000 8188.43 13.9604 19.7016 29.7709
155000 8144.32 13.7234 19.6716 30.1705
156000 8158.24 13.8937 19.6493 29.883
157000 8093.88 14.0185 19.4037 29.753
158000 8106.89 13.9888 19.4264 29.8319
159000 8083.65 13.9276 19.3097 30.0598
160000 8098.96 14.078 19.4998 29.5033
161000 8106.32 14.0135 19.5294 29.62
162000 8039.32 13.9688 19.5479 29.4414
163000 8058.15 14.0842 19.5014 29.3416
164000 8089.14 14.0279 19.4503 29.6491
165000 8061.6 13.9467 19.3977 29.8001
166000 8072.42 14.0249 19.5527 29.4379
167000 8000.28 14.1813 19.1723 29.4251
168000 8004.87 14.0081 19.4758 29.3426
169000 8023.74 14.1073 19.4122 29.3005
170000 8026.23 14.1249 19.3796 29.3222
171000 8037.73 14.0561 19.402 29.4724
172000 7992.98 14.1518 19.184 29.4412
173000 7998.65 14.0807 19.5039 29.1264
174000 8055.09 14.1518 19.364 29.3956
175000 8033.01 14.1589 19.3025 29.3926
176000 8009.97 14.2158 19.3395 29.1354
177000 8092.83 14.1554 19.5306 29.2749
178000 8082.82 14.1707 19.4577 29.3193
179000 8049.76 14.2203 19.4486 29.1068
180000 8018.51 14.1237 19.3426 29.3516
181000 8047.06 14.1676 19.379 29.3113
182000 8019.47 14.1455 19.4824 29.1017
183000 8025.28 14.0689 19.3355 29.5026
184000 7952.31 14.1474 19.3604 29.0346
185000 8021.19 14.1629 19.3796 29.2243
186000 8057.28 14.1848 19.3852 29.3032
187000 8031.98 14.1674 19.4707 29.1187
188000 8010.08 14.1638 19.2658 29.3539
189000 8001.46 14.2074 19.3317 29.1329
190000 8039.78 14.128 19.4317 29.2876
191000 7996.42 14.146 19.3733 29.1816
192000 8008.84 14.1609 19.3222 29.2701
193000 7956.12 14.1332 19.2764 29.2038
194000 7963.72 14.057 19.3573 29.2666
195000 7963.26 14.1123 19.3308 29.191
196000 7943.34 14.178 19.2021 29.1774
197000 7948.96 14.1264 19.2963 29.1621
198000 7920.83 14.1058 19.2674 29.1451
199000 7938.99 14.1903 19.2418 29.0753
200000 7917.45 14.1996 19.2277 28.9991
201000 7944.84 14.131 19.3078 29.1195
202000 7934.54 14.163 19.3102 29.0136
203000 7932.75 14.226 19.2213 29.01
204000 7922.86 14.1995 19.2102 29.0455
205000 7922.84 14.1956 19.2144 29.0473
206000 7925.76 14.1975 19.2202 29.0452
207000 7909.73 14.1785 19.2795 28.9359
208000 7923.46 14.1396 19.3574 28.948
209000 7902.24 14.1285 19.2676 29.0277
210000 7880.62 14.1164 19.3173 28.9
211000 7902.21 14.0818 19.3752 28.9635
212000 7894.85 14.1461 19.198 29.0716
213000 7906.62 14.1223 19.256 29.076
214000 7908.79 14.067 19.3677 29.0295
215000 7887.61 14.1766 19.1806 29.0076
216000 7898.99 14.0922 19.2849 29.0647
217000 7873.88 14.0792 19.2886 28.9927
218000 7887.27 14.0694 19.3188 29.0175
219000 7866.57 14.0548 19.2572 29.0654
220000 7851.58 14.0536 19.2325 29.0496
221000 7837.97 14.0731 19.1899 29.0231
222000 7841.09 14.0299 19.2799 28.9878
223000 7823.41 14.054 19.1895 29.0097
224000 7835.46 14.0254 19.1972 29.1017
225000 7831.63 13.9954 19.3349 28.9414
226000 7804.55 14.002 19.2192 29.0023
227000 7806.85 14.0235 19.2508 28.9187
228000 7796.64 14.0007 19.2506 28.9288
229000 7781.01 13.988 19.363 28.7291
230000 7761.89 13.9699 19.1956 28.9457
231000 7763.98 13.9981 19.225 28.8502
232000 7785.23 13.9834 19.293 28.8578
233000 7760.43 13.9716 19.3051 28.7722
234000 7752.6 13.976 19.2628 28.7981
235000 7765.33 13.9558 19.1982 28.9839
236000 7784.25 13.9897 19.3092 28.8179
237000 7774.83 13.9988 19.2647 28.8297
238000 7768.68 13.9584 19.2509 28.911
239000 7749.99 13.9558 19.2212 28.8918
240000 7747.34 13.9531 19.3146 28.748
241000 7734.88 13.9842 19.216 28.7852
242000 7761.37 13.9567 19.2461 28.8946
243000 7733.7 13.9444 19.2869 28.7564
244000 7746.3 13.962 19.2706 28.7908
245000 7737.48 13.9557 19.2061 28.8678
246000 7719.19 13.9584 19.2162 28.78
247000 7726.02 13.9058 19.3537 28.709
248000 7718.13 13.9339 19.2338 28.8007
249000 7714.51 13.9478 19.2046 28.8004
250000 7700.71 13.9335 19.2495 28.7113
251000 7709.46 13.9249 19.2483 28.7631
252000 7709.14 13.92 19.2579 28.7577
253000 7712.05 13.9239 19.2289 28.8044
254000 7696.06 13.9478 19.2106 28.7223
255000 7693.68 13.936 19.2632 28.66
256000 7699.91 13.9125 19.2405 28.7651
257000 7691.06 13.9171 19.2085 28.7703
258000 7696.32 13.9439 19.2119 28.7298
259000 7684.56 13.9319 19.2359 28.6746
260000 7686.18 13.9043 19.2047 28.7845
261000 7675.93 13.9039 19.18 28.784
262000 7666.97 13.9068 19.2382 28.6574
263000 7669.93 13.9118 19.2211 28.6837
264000 7660.47 13.9031 19.1817 28.7252
265000 7659.52 13.8843 19.1906 28.7474
266000 7652.42 13.8954 19.2351 28.6319
267000 7673.13 13.923 19.1802 28.7336
268000 7667.28 13.8926 19.1604 28.8043
269000 7655.62 13.9123 19.1985 28.6625
270000 7648.55 13.882 19.2254 28.6582
271000 7655.89 13.8967 19.1929 28.7036
272000 7644.33 13.9112 19.1725 28.6607
273000 7632.35 13.8825 19.1944 28.643
274000 7629.02 13.8688 19.1868 28.67
275000 7623.22 13.8792 19.1711 28.6501
276000 7619.84 13.8804 19.1652 28.6436
277000 7619.97 13.8801 19.1756 28.6293
278000 7623.29 13.8637 19.1803 28.6688
279000 7616.86 13.8593 19.1712 28.6673
280000 7618.7 13.8974 19.1774 28.5863
281000 7621.48 13.8878 19.1743 28.6215
282000 7601.7 13.8414 19.1672 28.6536
283000 7605.52 13.867 19.1543 28.6343
284000 7590.02 13.8793 19.141 28.5704
285000 7600.41 13.8665 19.1691 28.5938
286000 7603.92 13.8443 19.1681 28.6543
287000 7584.03 13.8501 19.1495 28.5949
288000 7578.29 13.8564 19.1412 28.5728
289000 7587.79 13.866 19.1279 28.6086
290000 7591.14 13.848 19.158 28.6133
291000 7576.49 13.8444 19.154 28.5714
292000 7573.91 13.8573 19.1322 28.5678
293000 7564.94 13.842 19.1124 28.5951
294000 7561.24 13.8345 19.1181 28.5883
295000 7557.78 13.8306 19.1518 28.5329
296000 7553.64 13.8461 19.0982 28.5656
297000 7557.08 13.8436 19.0932 28.5909
298000 7551.08 13.8285 19.1308 28.5432
299000 7548.47 13.8248 19.1346 28.5352
300000 7534.08 13.8258 19.0988 28.5324
301000 7540.57 13.8221 19.1063 28.5533
302000 7541.71 13.8256 19.1168 28.5345
303000 7540.57 13.8281 19.1118 28.5326
304000 7544.09 13.8241 19.1158 28.5482
305000 7540.23 13.8246 19.1075 28.5449
306000 7541.11 13.826 19.1153 28.5338
307000 7542.05 13.8282 19.1039 28.5501
308000 7535.99 13.8222 19.1125 28.5264
