LAMMPS data file via write_data, version 2 Aug 2023, timestep = 350000, units = metal

576 atoms
2 atom types

3.3979595743214777 17.187618137278946 xlo xhi
0.7167896473942115 19.868788064206726 ylo yhi
-3.976893942308589 24.562471653908112 zlo zhi

Masses

1 28.0855
2 15.9994

Atoms # full

546 61 2 -0.55 7.32284193727034 3.052886613238305 -0.7525977973489311 0 0 0
371 42 1 1.1 7.2843352718323615 3.6552252345719998 0.7305448944525423 -3 -2 0
223 25 2 -0.55 6.120828450166915 4.845331283180683 0.7617745521168997 -2 -2 0
152 17 2 -0.55 4.573428740071926 3.2457961219889455 -2.335332371912618 1 1 1
305 34 2 -0.55 9.221687979304091 1.422839606096273 -1.4755069572544053 -1 -1 2
181 21 1 1.1 4.6262545166321205 5.493076178795714 0.6134470566754633 -1 -1 0
317 36 1 1.1 8.196716092440628 2.510103373794493 -2.0185870680050257 1 0 1
487 55 1 1.1 4.8973896383320294 4.299822207658989 -3.4711357937511886 2 -2 1
304 34 2 -0.55 8.918260920912534 3.767313134948459 -2.629303544025051 0 1 1
544 61 2 -0.55 5.219679762573923 5.810257289009385 -2.876023481493635 -1 1 1
525 59 1 1.1 9.000798890359832 5.369172160849629 -2.8472584255958893 0 -1 2
473 53 2 -0.55 7.184112812296066 1.6416320583124882 -2.8544527132039246 0 -1 -1
77 9 2 -0.55 8.786479527915759 6.150599507054261 -1.4360486938690031 0 1 0
360 40 2 -0.55 4.440619910359937 6.500788064759757 -0.6019921918206492 0 -1 2
486 54 2 -0.55 8.841186920836705 3.916031192395569 1.0348293775179132 0 0 1
92 11 1 1.1 3.899754086841737 1.8025867022911555 -2.4617643852520237 0 0 0
430 48 2 -0.55 7.825124747359996 5.863911553886196 -3.8622059334820693 0 0 1
355 40 2 -0.55 3.4896651038142514 4.3999068344595 0.4351043776249135 2 0 1
488 55 1 1.1 10.148788028414305 3.080188220194409 1.6125959958084266 0 0 1
89 10 2 -0.55 10.36860687685262 5.78066465534403 -3.5876956954624375 -1 2 1
36 4 2 -0.55 10.245586959956027 1.6533991167125017 0.8794813956257697 0 1 -1
5 1 2 -0.55 16.706723351284946 1.883523612262427 -3.757363905548491 1 0 0
192 22 1 1.1 10.540492315025883 1.1749773955806455 -0.6363085605721732 -1 0 -1
58 7 2 -0.55 16.661915890665252 1.56964715605113 -1.2096133649421095 -1 3 1
227 26 1 1.1 12.695702553848578 2.8647915109215054 -2.213203960012005 -2 1 0
293 33 2 -0.55 11.719509823143001 2.029829926515866 -1.2868852463960758 0 0 0
257 29 2 -0.55 12.80801871900811 4.425427225431802 -1.7769591844266888 -1 1 1
394 44 2 -0.55 14.954497698343259 3.1612888271228052 0.02735400693607115 1 -1 1
111 13 1 1.1 15.7374573219594 4.1599974528794865 0.9581431962860911 -1 0 0
399 45 1 1.1 15.113765395295536 1.837480978394508 -0.89711052680101 0 -1 -1
215 24 2 -0.55 14.144897445620531 2.2586277104164667 -2.1707968810918685 -2 1 -2
30 4 1 1.1 13.678427801890624 5.713236359856437 -2.0696191505298 1 -2 -1
238 27 2 -0.55 15.128350771628181 5.112934615840358 -2.535062439991889 -3 1 1
91 11 1 1.1 14.014856595569054 6.8043611479653645 0.7658956661620842 0 -1 -1
222 25 2 -0.55 13.904177486342755 6.726048563740333 -0.8298310654942136 1 2 -1
250 28 2 -0.55 12.861354484871404 6.566653064868449 -3.179705704646852 1 -2 3
501 56 2 -0.55 15.077017073348511 5.650820573102003 1.2468615785050288 -2 -1 0
97 11 2 -0.55 11.454955595307139 3.979487405405709 1.4471414230300175 0 -1 -2
51 6 2 -0.55 12.121628394125755 2.9683007057131383 -3.695217399102851 0 1 -2
62 7 2 -0.55 12.622803039982857 6.374788998891961 1.3608864291271185 2 1 0
307 35 1 1.1 5.056629355685602 7.125232747625446 -1.8969623908087718 0 1 -2
10 2 1 1.1 7.970185953857053 7.409129914502605 -0.8373072182220738 0 2 0
144 16 2 -0.55 7.7573849540369215 7.461837989602356 0.8117866108114766 0 -1 -1
539 60 2 -0.55 6.527887126566203 7.6478613142655485 -1.5673951814141986 3 0 1
407 46 1 1.1 8.297153996459034 12.121642535294082 -0.9303798369146103 0 0 1
151 17 2 -0.55 8.803225574761901 8.80092503490477 -1.098599044600232 0 0 2
55 7 1 1.1 9.796411546956172 9.670251987352163 -0.11866637764031784 -2 0 1
328 37 2 -0.55 4.320735156704265 12.299422966546892 0.4864591265670093 1 -1 0
320 36 2 -0.55 9.471402014291709 11.250172289457886 -0.3027399458106541 -1 -1 2
508 57 2 -0.55 6.9508385452660555 11.959734797584463 -0.1214345821993903 -1 0 0
246 28 1 1.1 5.957701922015859 12.672117638592876 0.8956670278603251 2 0 0
42 5 2 -0.55 9.386012208155693 9.345077167890624 1.4393019106085871 -1 -3 1
49 6 2 -0.55 7.96291026235523 11.403382011829068 -2.3394784316483044 -2 1 0
18 2 2 -0.55 4.016310098015101 8.254820993237317 -2.3245817470568104 1 1 2
476 53 2 -0.55 4.2039887545050325 10.904502020368268 -1.620133510163459 -3 0 0
48 6 1 1.1 3.8301194347617225 12.354279055821479 -1.0553846285315562 1 0 0
204 23 2 -0.55 4.6537581793974 13.560887044337441 -1.8121714092327408 -1 0 -1
263 30 1 1.1 8.058824023349127 11.414951668986308 -3.9216928316075723 -1 1 1
282 32 1 1.1 17.085086188444887 9.556260788211075 -1.7529748343061669 -1 -1 1
285 32 2 -0.55 11.237513903057923 9.327309204178304 -0.5751998807023759 3 2 2
160 18 2 -0.55 16.42820818831175 9.401042377129754 -0.22245114606099126 2 0 1
