# Time-averaged data for fix myat1
# TimeStep v_mytemp
1000 8163.23
2000 6011.8
3000 5986.93
4000 6018.15
5000 6011.89
6000 5989.81
7000 6066.2
8000 6071.88
9000 6049.3
10000 6034.82
11000 5937.87
12000 5976.69
13000 5974.69
14000 5961.23
15000 5943.85
16000 5958.5
17000 6073.14
18000 5962.95
19000 5923.91
20000 5977.89
21000 6031.69
22000 5980.66
23000 5930.74
24000 6053.83
25000 5970.64
26000 5956.55
27000 6060.63
28000 6050.83
29000 6022.41
30000 5945.46
31000 6031.47
32000 6034.18
33000 5945.29
34000 6035.85
35000 6052.51
36000 6021.03
37000 5961.33
38000 5942.4
39000 5997.77
40000 5997.84
41000 5913.76
42000 6005.47
43000 6005.83
44000 5956.55
45000 5930.7
46000 6007.8
47000 5998.66
48000 5986.04
49000 5922.53
50000 5923.99
51000 5997.84
52000 5978.42
53000 5861.85
54000 5806.55
55000 5823.52
56000 5726.93
57000 5681.86
58000 5707.65
59000 5653.54
60000 5650.08
61000 5623.1
62000 5639.25
63000 5458.56
64000 5462.17
65000 5458.96
66000 5360.76
67000 5358.67
68000 5269.53
69000 5188.11
70000 5213.54
71000 5189.74
72000 5118.8
73000 5158.21
74000 4997.31
75000 5111.73
76000 5036.35
77000 4918.05
78000 4909.75
79000 4795.74
80000 4833.64
81000 4776.34
82000 4777.47
83000 4680.36
84000 4634.69
85000 4674.78
86000 4552.87
87000 4515.58
88000 4499.25
89000 4504.63
90000 4392.78
91000 4392.64
92000 4408.49
93000 4320.95
94000 4202.26
95000 4246.3
96000 4208.04
97000 4148.63
98000 4116.3
99000 4111.55
100000 4028.25
101000 3915.41
102000 4013.06
103000 3935.92
104000 3972.46
105000 3914.33
106000 3908.29
107000 3918.96
108000 3848.89
109000 3914.87
110000 3865.89
111000 3757.09
112000 3822.73
113000 3786.73
114000 3718.95
115000 3695.2
116000 3713.44
117000 3739.34
118000 3654.66
119000 3637.46
120000 3692.1
121000 3639.24
122000 3537.61
123000 3591.51
124000 3591.58
125000 3571.47
126000 3505.36
127000 3473.42
128000 3502.54
129000 3472.46
130000 3484.46
131000 3453.62
132000 3413.83
133000 3449.23
134000 3409.33
135000 3351.93
136000 3402.25
137000 3341.39
138000 3258.4
139000 3291.64
140000 3290.38
141000 3247.57
142000 3244.18
143000 3209.14
144000 3170.89
145000 3219.22
146000 3151.04
147000 3125.9
148000 3139.01
149000 3117.12
150000 3137.64
151000 3080.54
152000 3046.3
153000 3021.47
154000 3018.6
155000 3006.76
156000 2997.85
157000 2904.08
158000 2937.87
159000 2956.73
160000 2914.43
161000 2893.12
162000 2847.95
163000 2870.08
164000 2829.29
165000 2773.18
166000 2782.95
167000 2779.64
168000 2762.33
169000 2710.01
170000 2730.22
171000 2694.08
172000 2632.36
173000 2654.1
174000 2614.37
175000 2613.5
176000 2642.13
177000 2595.94
178000 2561.12
179000 2548.05
180000 2513.4
181000 2546.96
182000 2518.66
183000 2501.32
184000 2447.14
185000 2437.61
186000 2450.9
187000 2415.78
188000 2347.69
189000 2335.91
190000 2373.31
191000 2342.5
192000 2298.63
193000 2325.37
194000 2284.56
195000 2237.11
196000 2206.03
197000 2209.15
198000 2193.65
199000 2166.9
200000 2144.57
201000 2109.81
202000 2144.39
203000 2115.29
204000 2063.3
205000 2059.07
206000 2044.36
207000 2024.88
208000 2029.87
209000 2012.16
210000 1964.45
211000 1984.96
212000 1936.19
213000 1943.87
214000 1901.67
215000 1847.33
216000 1867.94
217000 1859.22
218000 1839.74
219000 1813.34
220000 1794.25
221000 1799.01
222000 1769.03
223000 1745.18
224000 1704.17
225000 1696.15
226000 1664.32
227000 1644.4
228000 1628.3
229000 1609.22
230000 1586.39
231000 1598.45
232000 1569.53
233000 1553.19
234000 1511.96
235000 1509.64
236000 1506.45
237000 1493.88
238000 1467.49
239000 1413.48
240000 1420.81
241000 1397.49
242000 1380.58
243000 1367.53
244000 1343.21
245000 1327.08
246000 1282.65
247000 1285.58
248000 1274.49
249000 1271.43
250000 1243.81
251000 1223.98
252000 1199.18
253000 1196.53
254000 1170.19
255000 1154.15
256000 1126.57
257000 1102.16
258000 1068.87
259000 1057.14
260000 1035.3
261000 1041.44
262000 1023.01
263000 1006.07
264000 991.848
265000 960.852
266000 951.015
267000 925.945
268000 901.209
269000 884.762
270000 880.548
271000 852.619
272000 838.304
273000 809.926
274000 793.37
275000 777.236
276000 759.457
277000 741.323
278000 718.011
279000 702.062
280000 690.259
281000 666.474
282000 649.732
283000 633.436
284000 609.155
285000 593.998
286000 573.764
287000 558.423
288000 533.635
289000 517.595
290000 498.056
291000 483.742
292000 456.551
293000 439.55
294000 419.984
295000 399.864
296000 385.11
297000 366.701
298000 350.707
299000 327.725
300000 308.977
301000 295.405
302000 298.55
303000 302.088
304000 305.172
305000 300.934
306000 298.999
307000 297.328
308000 295.757
309000 299.558
310000 295.71
311000 296.339
312000 297.814
313000 299.671
314000 305.811
315000 302.345
316000 303.855
317000 299.606
318000 299.761
319000 299.18
320000 302.007
321000 304.335
322000 300.939
323000 296.139
324000 297.462
325000 297.036
326000 298.554
327000 297.812
328000 300.523
329000 299.255
330000 299.887
331000 301.553
332000 300.67
333000 298.94
334000 295.204
335000 302.152
336000 298.577
337000 298.38
338000 300.988
339000 306.596
340000 299.332
341000 293.916
342000 299.871
343000 297.27
344000 301.194
345000 297.206
346000 300.104
347000 300.465
348000 297.71
349000 297.434
350000 301.263
