# Time-averaged data for fix myat2
# TimeStep v_myvol v_mylx v_myly v_mylz
1000 35207.4 32.7619 32.7619 32.7619
2000 37926.4 33.5973 33.5973 33.5973
3000 39626 34.0921 34.0921 34.0921
4000 40513.4 34.3452 34.3452 34.3452
5000 41187.5 34.5345 34.5345 34.5345
6000 41313.9 34.5699 34.5699 34.5699
7000 40971.7 34.4742 34.4742 34.4742
8000 41532.2 34.6301 34.6301 34.6301
9000 42829.2 34.9872 34.9872 34.9872
10000 44271.8 35.3759 35.3759 35.3759
11000 45338.3 35.6578 35.6578 35.6578
12000 43281.7 35.1085 35.1085 35.1085
13000 42673.6 34.945 34.945 34.945
14000 42579.8 34.9192 34.9192 34.9192
15000 41266.6 34.5567 34.5567 34.5567
16000 42568 34.9154 34.9154 34.9154
17000 42138.5 34.7971 34.7971 34.7971
18000 41218 34.5432 34.5432 34.5432
19000 40901 34.4542 34.4542 34.4542
20000 41712.7 34.6796 34.6796 34.6796
21000 43813.3 35.2532 35.2532 35.2532
22000 44197.2 35.3562 35.3562 35.3562
23000 44092.5 35.3282 35.3282 35.3282
24000 44506.4 35.4382 35.4382 35.4382
25000 45851.3 35.7916 35.7916 35.7916
26000 44121.6 35.3353 35.3353 35.3353
27000 43546.5 35.1816 35.1816 35.1816
28000 43571.7 35.188 35.188 35.188
29000 42636.2 34.9349 34.9349 34.9349
30000 43877.8 35.2697 35.2697 35.2697
31000 46363.5 35.9239 35.9239 35.9239
32000 47333.4 36.1734 36.1734 36.1734
33000 48026.1 36.3486 36.3486 36.3486
34000 48186.3 36.389 36.389 36.389
35000 47327.2 36.1716 36.1716 36.1716
36000 48518.2 36.4726 36.4726 36.4726
37000 47462.5 36.2061 36.2061 36.2061
38000 48129 36.3748 36.3748 36.3748
39000 47494.6 36.2144 36.2144 36.2144
40000 46881.1 36.0569 36.0569 36.0569
41000 43668.8 35.2135 35.2135 35.2135
42000 42662.5 34.9419 34.9419 34.9419
43000 41854.6 34.7198 34.7198 34.7198
44000 40539.6 34.3524 34.3524 34.3524
45000 40742.6 34.4097 34.4097 34.4097
46000 40499.3 34.3412 34.3412 34.3412
47000 40772.9 34.4175 34.4175 34.4175
48000 43330.5 35.1231 35.1231 35.1231
49000 43401.1 35.1426 35.1426 35.1426
50000 44631 35.4705 35.4705 35.4705
51000 45272 35.5139 35.7932 35.6139
52000 42403.7 34.2185 35.4662 34.9379
53000 41642.7 33.3951 35.3555 35.2714
54000 40016.9 32.0009 34.9392 35.7902
55000 39145.9 31.3333 34.8171 35.8842
56000 39660 30.5435 35.5573 36.519
57000 40991 30.5107 36.3335 36.974
58000 40119.9 30.1481 36.2645 36.6855
59000 38131 29.4829 36.1755 35.7519
60000 38958.7 30.3326 36.3262 35.3583
61000 38402.5 31.0933 35.7835 34.5164
62000 37824.9 31.7331 35.4196 33.6533
63000 37642.6 31.9916 35.1946 33.4325
64000 37348.5 31.9577 34.7364 33.6445
65000 36164.4 31.2575 34.4663 33.5671
66000 35595.8 30.6769 34.6684 33.4706
67000 36695 30.4282 36.1604 33.3513
68000 36946.7 30.2581 36.7702 33.2079
69000 35272.6 30.1267 36.2753 32.273
70000 34619.7 30.1761 36.2372 31.6589
71000 35311.1 30.1414 36.671 31.9465
72000 34832.1 30.2561 36.0866 31.9034
73000 34346.2 30.4196 35.1647 32.1078
74000 33894.6 30.4948 34.3546 32.3552
75000 34129.9 30.4608 33.5451 33.4029
76000 33776.5 30.4006 32.6847 33.9933
77000 33960.8 30.5712 32.1708 34.5302
78000 33979.7 31.2491 31.0955 34.9685
79000 33155.2 31.5985 30.2055 34.7369
80000 33700.8 31.8097 30.6875 34.5256
81000 32810.3 31.2175 31.2901 33.5902
82000 32519.6 31.3314 31.3908 33.0645
83000 33141 31.892 31.4108 33.0814
84000 31912.3 31.6145 31.0482 32.5111
85000 31961.2 31.614 31.0022 32.609
86000 31286.9 30.7561 31.0157 32.7986
87000 31728.8 30.4671 31.3548 33.214
88000 31670.1 30.5341 31.7417 32.6779
89000 31712.6 31.0496 32.1405 31.7797
90000 31297.4 31.5195 32.4254 30.6224
91000 30982.7 31.6878 32.4254 30.1541
92000 30503.5 31.894 31.6602 30.2106
93000 30597.3 32.4071 30.8951 30.5596
94000 30300.7 32.883 30.7708 29.9481
95000 30482.6 33.0871 30.9956 29.7235
96000 30176.6 33.0819 30.7071 29.7062
97000 30308.2 33.5502 30.7826 29.3468
98000 30526.4 33.6244 31.4254 28.8908
99000 29817.1 33.6941 31.4178 28.1657
100000 29435.2 33.8177 30.7632 28.294
101000 30133.6 34.3442 30.9236 28.3713
102000 29772.7 34.3282 30.5812 28.3607
103000 29660.6 33.9705 30.747 28.3974
104000 29420.5 34.1242 30.7422 28.0448
105000 29344.8 34.2531 30.4231 28.1602
106000 30104.4 34.6885 30.8418 28.1385
107000 29762 34.1198 31.4444 27.741
108000 29423 33.526 31.7037 27.6813
109000 29242.7 33.4312 31.9876 27.346
110000 28884.6 33.4464 32.0122 26.9778
111000 28989.6 32.9028 32.7458 26.9063
112000 29143.6 32.9186 32.952 26.8675
113000 29197.8 32.5239 33.0876 27.1323
114000 28824.7 32.7336 32.6819 26.9441
115000 28663.3 32.8994 32.7142 26.6316
116000 28891.4 32.6372 32.6908 27.0792
117000 28717.5 32.8704 32.2625 27.0802
118000 28578.6 32.5165 32.3994 27.1283
119000 28899.1 32.5025 32.843 27.0738
120000 28874.1 32.5147 32.6506 27.1988
121000 28636.9 32.3298 32.4216 27.3206
122000 28551 32.4793 31.945 27.5177
123000 28351.9 32.6546 31.8692 27.2439
124000 28282.2 32.339 31.7346 27.5587
125000 28271.2 32.8584 31.2569 27.5277
126000 28430 32.7552 30.8704 28.1158
127000 28191.7 32.6654 31.0152 27.826
128000 28406.2 32.6222 31.1323 27.9694
129000 28273.6 32.2087 31.4231 27.9357
130000 28160.7 32.3987 31.3416 27.7337
131000 28045.5 32.3875 31.1648 27.7856
132000 28142.1 32.4975 31.1078 27.8385
133000 27972.2 32.6014 31.0402 27.6422
134000 27941.5 32.6403 31.1319 27.4969
135000 27789.9 32.5824 31.2005 27.3368
136000 27718.7 32.3221 31.2534 27.4398
137000 27857.5 32.3073 31.3844 27.4754
138000 27781 32.2637 31.2415 27.5623
139000 28012.6 32.3367 31.2884 27.6871
140000 27868.8 32.5158 31.0596 27.5953
141000 27714.7 32.2145 31.2048 27.5705
142000 27749.5 32.3969 31.0201 27.6136
143000 27696.1 32.341 31.1853 27.4618
144000 27686.5 32.4086 31.1686 27.4089
145000 27725.6 32.3883 31.0937 27.5302
146000 27569 32.2337 30.8246 27.7474
147000 27756 32.4084 31.0444 27.5873
148000 27721 32.1337 31.2951 27.5653
149000 27538.7 32.5456 31.0675 27.236
150000 27411.4 32.3584 31.0379 27.2933
151000 27445 32.2472 31.1398 27.331
152000 27504.2 32.2666 31.1768 27.3415
153000 27476.6 32.3064 31.109 27.3394
154000 27364.4 32.5557 30.8781 27.2218
155000 27392.7 32.2746 30.9969 27.3828
156000 27504 32.4178 30.9697 27.3961
157000 27308.5 31.985 31.0046 27.5378
158000 27235.6 31.8794 31.0234 27.5385
159000 27305.3 31.9494 30.7911 27.7563
160000 27230.4 31.9303 30.8943 27.6048
161000 27183.4 31.9786 30.6657 27.7202
162000 27145.2 31.9357 30.637 27.7442
163000 27117.4 32.0251 30.7768 27.5127
164000 27105.8 32.032 30.6913 27.5715
165000 27062.9 31.9677 30.7217 27.556
166000 26965 31.9362 30.6574 27.541
167000 27063.3 31.857 30.8487 27.5385
168000 27049.9 31.9031 30.8149 27.5153
169000 27015.7 32.1383 30.6954 27.3859
170000 26942.4 32.06 30.7582 27.3221
171000 26919.7 32.0225 30.7003 27.3828
172000 26981.8 32.1948 30.6627 27.3326
